Timestamp: 2024-06-22 23:16:30,346, URL: https://www.youtube.com/watch?v=hTghEXKNj7g, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:36,049, URL: https://www.youtube.com/watch?v=ZZZ7k8cMA-4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:39,940, URL: https://www.youtube.com/watch?v=7XFLTDQ4JMk, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:42,578, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:44,793, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:47,032, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:49,230, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:51,321, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:53,540, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:55,874, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:16:58,031, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:17:00,140, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:17:02,048, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:17:05,058, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:17:11,689, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-22 23:17:22,995, URL: https://www.youtube.com/watch?v=fLeJJPxua3E, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:24,310, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:25,055, URL: https://www.youtube.com/watch?v=W1Ao37xIAW4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:25,394, URL: https://www.youtube.com/watch?v=xDQ6twqG5NM, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:25,595, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:25,927, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:26,539, URL: https://www.youtube.com/watch?v=SZnJbJKzVP0, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:27,491, URL: https://www.youtube.com/watch?v=rA1Z4ca52cg, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:28,039, URL: https://www.youtube.com/watch?v=hTghEXKNj7g, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:28,505, URL: https://www.youtube.com/watch?v=pb7_YJp9bVA, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:29,821, URL: https://www.youtube.com/watch?v=d6wRkzCW5qI, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:29,829, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:32,028, URL: https://www.youtube.com/watch?v=7XFLTDQ4JMk, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:32,324, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-22 23:17:34,344, URL: https://www.youtube.com/watch?v=ZZZ7k8cMA-4, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:28:27,640, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:28:29,765, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:28:31,416, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:28:33,995, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:28:36,430, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:28:41,488, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:28:42,932, URL: https://www.youtube.com/watch?v=LT7f9ZJhb94, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:28:43,123, URL: https://www.youtube.com/watch?v=SAJWjnRIWcw, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:28:43,127, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:28:43,635, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Parallel
Timestamp: 2024-06-23 08:48:49,252, URL: https://www.youtube.com/watch?v=iFwgYxzuUZ8, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:48:50,624, URL: https://www.youtube.com/watch?v=JlvlCOreNaU, Downloaded: True, Download_Type: Serial
Timestamp: 2024-06-23 08:48:51,855, URL: https://www.youtube.com/watch?v=5c-Tnn9oxek, Downloaded: True, Download_Type: Serial
