Timestamp: 2024-05-28 22:10:12,167, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:10:12,183, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:10:12,184, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:10:21,184, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:10:21,199, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:10:23,205, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:21:20,434, URL: https://www.youtube.com/watch?v=k3WkJq478T, Download: False
Timestamp: 2024-05-28 22:21:23,455, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:21:23,507, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:21:26,635, URL: https://www.youtube.com/watch?v=K5SbKV-Uz7A&list=RDMM&index=2, Download: True
Timestamp: 2024-05-28 22:21:29,491, URL: https://www.youtube.com/watch?v=YhvLXwmCO4E, Download: True
Timestamp: 2024-05-28 22:21:30,390, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:22:20,374, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:22:20,375, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:22:21,013, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:26:17,300, URL: https://www.youtube.com/playlist?list=PLQR3QcO-W5hfOB4u_zqdnduOBMR0YiNVW, Download: False
Timestamp: 2024-05-28 22:26:20,410, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:26:20,932, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:26:22,632, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:26:22,948, URL: https://www.youtube.com/watch?v=4xG2aJa6UyY, Download: True
Timestamp: 2024-05-28 22:26:23,984, URL: https://www.youtube.com/watch?v=Y6bbMQXQ180, Download: True
Timestamp: 2024-05-28 22:26:25,232, URL: https://www.youtube.com/watch?v=K5o7U1WrJXc, Download: True
Timestamp: 2024-05-28 22:27:31,810, URL: https://www.youtube.com/playlist?list=PLQR3QcO-W5hfOB4u_zqdnduOBMR0YiNVW, Download: False
Timestamp: 2024-05-28 22:27:36,988, URL: https://www.youtube.com/watch?v=msSc7Mv0QHY, Download: True
Timestamp: 2024-05-28 22:27:37,021, URL: https://www.youtube.com/watch?v=p7YXXieghto, Download: True
Timestamp: 2024-05-28 22:27:37,023, URL: https://www.youtube.com/watch?v=Y6bbMQXQ180, Download: True
Timestamp: 2024-05-28 22:27:37,023, URL: https://www.youtube.com/watch?v=6_b7RDuLwcI, Download: True
Timestamp: 2024-05-28 22:27:37,070, URL: https://www.youtube.com/watch?v=4xG2aJa6UyY, Download: True
